Date,Open,High,Low,Close,Adj Close,Volume
2000-08-01,41.312500,43.187500,40.312500,40.437500,16.520470,4242400
2000-09-01,40.625000,43.500000,39.937500,42.937500,17.541821,2845700
2000-10-01,43.000000,43.062500,38.625000,40.500000,16.754633,11022800
2000-11-01,40.500000,42.687500,40.000000,42.437500,17.556162,6310400
2000-12-01,42.625000,44.875000,41.312500,43.500000,17.995707,4183600
2001-01-01,43.625000,43.875000,39.750000,40.599998,16.999321,8376200
2001-02-01,40.500000,42.500000,39.000000,40.340000,16.890451,5899800
2001-03-01,40.360001,41.250000,37.250000,38.450001,16.099102,6611900
2001-04-01,38.650002,39.650002,36.000000,39.509998,16.768206,5766800
2001-05-01,39.400002,40.599998,38.570000,39.880001,16.925238,5194600
2001-06-01,39.950001,41.419998,39.650002,40.900002,17.358130,6154000
2001-07-01,40.950001,41.310001,38.279999,38.549999,16.595257,4088000
2001-08-01,38.650002,41.150002,38.400002,39.400002,16.961174,7028900
2001-09-01,39.400002,39.549999,36.200001,38.130001,16.414454,7659400
2001-10-01,38.130001,38.299999,34.000000,35.349998,15.458592,10352800
2001-11-01,35.349998,37.400002,35.250000,37.200001,16.267603,4858800
2001-12-01,37.099998,38.549999,36.900002,38.000000,16.617441,4280200
2002-01-01,38.150002,39.049999,36.500000,36.639999,16.268953,7456100
2002-02-01,36.849998,38.020000,35.700001,37.669998,16.726290,5892400
2002-03-01,37.750000,39.950001,37.700001,39.450001,17.516657,7032100
2002-04-01,39.500000,41.549999,37.700001,38.980000,17.566023,6217300
2002-05-01,39.150002,41.349998,38.950001,41.000000,18.476318,5953400
2002-06-01,41.099998,41.320000,39.549999,39.950001,18.003141,5110400
2002-07-01,39.950001,40.000000,32.950001,37.299999,17.062811,9739700
2002-08-01,37.400002,38.250000,36.099998,37.880001,17.328135,6684900
2002-09-01,38.000000,38.669998,37.000000,37.200001,17.017057,8394100
2002-10-01,37.080002,37.349998,33.299999,35.700001,16.596750,10272400
2002-11-01,35.599998,37.490002,35.470001,37.070000,17.233656,6017000
2002-12-01,37.200001,37.490002,35.669998,36.860001,17.136032,7086000
2003-01-01,36.860001,37.240002,34.799999,35.900002,16.974110,7530200
2003-02-01,35.799999,37.360001,35.240002,37.200001,17.588768,6734700
2003-03-01,37.250000,39.439999,35.799999,37.900002,17.919743,7299600
2003-04-01,38.000000,40.750000,38.000000,39.200001,18.830843,6785900
2003-05-01,39.200001,43.040001,38.810001,41.919998,20.137468,8501600
2003-06-01,42.000000,44.830002,41.959999,43.799999,21.040579,7185000
2003-07-01,43.750000,45.500000,42.570000,43.290001,21.100473,8035300
2003-08-01,43.299999,43.349998,41.259998,42.950001,20.934757,5045400
2003-09-01,43.070000,44.730000,42.750000,43.470001,21.188204,6019600
2003-10-01,43.549999,45.779999,43.400002,44.250000,21.882284,7387700
2003-11-01,44.450001,46.790001,44.369999,46.250000,22.871323,4678000
2003-12-01,46.500000,48.470001,46.299999,48.189999,23.830679,4681400
2004-01-01,48.189999,50.389999,46.689999,50.029999,25.067278,6833300
2004-02-01,50.180000,53.220001,49.099998,51.230000,25.668533,8062700
2004-03-01,51.299999,54.889999,51.299999,54.310001,27.211746,11620600
2004-04-01,54.419998,55.540001,45.849998,47.000000,23.825647,14798700
2004-05-01,46.970001,49.450001,42.990002,49.360001,25.021992,10532300
2004-06-01,49.369999,50.520000,47.790001,50.080002,25.386986,8254000
2004-07-01,50.080002,53.259998,49.860001,52.900002,27.166891,7814700
2004-08-01,52.889999,55.480000,51.939999,55.480000,28.491861,7078800
2004-09-01,55.430000,56.290001,52.799999,55.389999,28.445637,5544300
2004-10-01,55.470001,59.860001,55.150002,59.720001,31.037800,6527200
2004-11-01,59.720001,62.340000,57.939999,60.180000,31.276869,9648900
2004-12-01,60.220001,64.900002,60.040001,64.669998,33.610416,6674900
2005-01-01,64.559998,65.050003,56.660000,57.779999,30.337416,9595600
2005-02-01,58.029999,62.040001,57.599998,59.799999,31.398014,7745200
2005-03-01,59.810001,62.950001,58.669998,60.230000,31.623779,8911800
2005-04-01,61.500000,66.650002,58.840000,66.470001,35.284916,11553700
2005-05-01,66.470001,68.849998,64.910004,66.800003,35.460102,11083600
2005-06-01,66.779999,70.169998,66.470001,70.000000,37.158775,9323000
2005-07-01,70.089996,76.669998,69.760002,76.150002,40.825558,8023300
2005-08-01,76.400002,76.660004,68.980003,71.150002,38.144966,12592700
2005-09-01,71.750000,74.820000,68.209999,70.900002,38.010937,10500300
2005-10-01,71.000000,71.769997,64.400002,69.220001,38.832783,10135200
2005-11-01,69.220001,75.599998,66.169998,75.209999,42.193203,14640800
2005-12-01,75.250000,76.370003,73.449997,74.129997,41.587322,10543000
2006-01-01,74.379997,80.949997,72.980003,78.260002,44.307209,12829200
2006-02-01,78.260002,86.180000,76.959999,84.669998,47.936256,11020200
2006-03-01,84.900002,97.180000,84.269997,93.250000,52.793850,26732400
2006-04-01,93.150002,93.150002,85.379997,88.269997,50.349396,17483800
2006-05-01,88.500000,90.750000,81.889999,84.650002,48.284550,15820100
