Date,Open,High,Low,Close,Adj Close,Volume
2007-03-01,673.000000,673.000000,640.000000,663.000000,663.000000,52996
2007-04-01,665.500000,692.500000,656.099976,680.500000,680.500000,4436
2007-05-01,673.700012,688.000000,651.000000,661.000000,661.000000,158741
2007-06-01,661.500000,674.000000,640.000000,648.099976,648.099976,4027
2007-07-01,656.799988,684.200012,648.400024,666.900024,666.900024,138110
2007-08-01,663.200012,676.200012,642.900024,673.000000,673.000000,8547
2007-09-01,672.500000,745.700012,672.500000,742.799988,742.799988,27393
2007-10-01,745.099976,795.400024,724.299988,792.000000,792.000000,2720
2007-11-01,785.299988,841.299988,777.599976,782.200012,782.200012,239351
2007-12-01,783.900024,843.200012,777.000000,834.900024,834.900024,7681
2008-01-01,848.700012,936.299988,846.400024,922.700012,922.700012,231851
2008-02-01,924.799988,973.099976,884.700012,972.099976,972.099976,8233
2008-03-01,984.200012,1014.599976,912.000000,916.200012,916.200012,216432
2008-04-01,915.000000,948.700012,863.000000,862.799988,862.799988,13006
2008-05-01,855.000000,925.599976,849.599976,887.299988,887.299988,221797
2008-06-01,887.299988,933.700012,858.200012,926.200012,926.200012,9462
2008-07-01,943.599976,986.200012,893.299988,913.900024,913.900024,250610
2008-08-01,904.900024,916.099976,780.900024,829.299988,829.299988,9253
2008-09-01,829.900024,919.000000,739.000000,874.200012,874.200012,18800
2008-10-01,878.000000,925.700012,681.000000,716.799988,716.799988,3365
2008-11-01,728.799988,824.000000,707.000000,816.200012,816.200012,377779
2008-12-01,817.200012,883.599976,740.000000,883.599976,883.599976,9599
2009-01-01,881.500000,930.299988,805.599976,927.299988,927.299988,215420
2009-02-01,924.299988,1004.900024,889.799988,941.500000,941.500000,14216
2009-03-01,945.000000,963.200012,885.000000,922.599976,922.599976,178292
2009-04-01,918.599976,932.500000,865.000000,890.700012,890.700012,17300
2009-05-01,884.000000,980.400024,881.500000,978.799988,978.799988,234559
2009-06-01,978.799988,990.299988,917.299988,927.099976,927.099976,12773
