Date,Price
8/1/2000,106.521
9/1/2000,107.135
10/1/2000,107.728
11/1/2000,108.291
12/1/2000,108.792
1/1/2001,109.215
2/1/2001,109.643
3/1/2001,110.394
4/1/2001,111.248
5/1/2001,112.203
6/1/2001,113.273
7/1/2001,114.229
8/1/2001,114.99
9/1/2001,115.467
10/1/2001,115.682
11/1/2001,115.839
12/1/2001,116.056
1/1/2002,116.438
2/1/2002,116.918
3/1/2002,117.931
4/1/2002,119.211
5/1/2002,120.79
6/1/2002,122.334
7/1/2002,123.687
8/1/2002,124.729
9/1/2002,125.493
10/1/2002,126.135
11/1/2002,126.641
12/1/2002,127.15
1/1/2003,127.652
2/1/2003,128.327
3/1/2003,129.31
4/1/2003,130.49
5/1/2003,131.841
6/1/2003,133.226
7/1/2003,134.647
8/1/2003,135.965
9/1/2003,137.077
10/1/2003,137.978
11/1/2003,138.769
12/1/2003,139.631
1/1/2004,140.709
2/1/2004,142.032
3/1/2004,144.082
4/1/2004,146.181
5/1/2004,148.335
6/1/2004,150.519
7/1/2004,152.338
8/1/2004,153.815
9/1/2004,155.11
10/1/2004,156.301
11/1/2004,157.499
12/1/2004,158.674
1/1/2005,160.135
2/1/2005,161.93
3/1/2005,164.582
4/1/2005,167.003
5/1/2005,169.547
6/1/2005,172.016
7/1/2005,174.097
8/1/2005,175.923
9/1/2005,177.612
10/1/2005,178.755
11/1/2005,179.679
12/1/2005,180.113
1/1/2006,180.833
2/1/2006,181.505
3/1/2006,182.753
4/1/2006,183.651
5/1/2006,184.382
6/1/2006,184.55
7/1/2006,184.612
8/1/2006,184.41
9/1/2006,184.204
10/1/2006,184.06
11/1/2006,183.637
12/1/2006,183.234
1/1/2007,182.722
2/1/2007,182.474
3/1/2007,182.196
4/1/2007,182.134
5/1/2007,181.888
6/1/2007,181.545
7/1/2007,181
8/1/2007,180.242
