Date,Open,High,Low,Close,Adj Close,Volume
2007-03-01,9.530000,9.550000,9.490000,9.490000,5.859001,0
2007-04-01,9.500000,9.510000,9.450000,9.500000,5.888106,0
2007-05-01,9.490000,9.500000,9.380000,9.380000,5.835916,0
2007-06-01,9.360000,9.370000,9.200000,9.300000,5.808410,0
2007-07-01,9.310000,9.330000,9.230000,9.320000,5.843599,0
2007-08-01,9.330000,9.420000,9.310000,9.390000,5.910335,0
2007-09-01,9.380000,9.490000,9.380000,9.460000,5.977263,0
2007-10-01,9.460000,9.560000,9.420000,9.490000,6.019126,0
2007-11-01,9.530000,9.630000,9.500000,9.590000,6.106235,0
2007-12-01,9.610000,9.610000,9.490000,9.590000,6.129886,0
2008-01-01,9.640000,9.740000,9.640000,9.710000,6.230676,0
2008-02-01,9.720000,9.720000,9.470000,9.610000,6.190170,0
2008-03-01,9.600000,9.600000,9.390000,9.460000,6.117841,0
2008-04-01,9.400000,9.460000,9.360000,9.450000,6.136074,0
2008-05-01,9.440000,9.530000,9.360000,9.390000,6.121840,0
2008-06-01,9.430000,9.450000,9.200000,9.280000,6.076087,0
2008-07-01,9.250000,9.300000,9.040000,9.100000,5.984003,0
2008-08-01,9.080000,9.080000,9.020000,9.030000,5.964156,0
2008-09-01,9.050000,9.140000,8.620000,8.620000,5.718632,0
2008-10-01,8.640000,8.670000,8.260000,8.260000,5.505057,0
2008-11-01,8.290000,8.430000,7.830000,8.040000,5.385098,0
2008-12-01,7.970000,8.330000,7.970000,8.330000,5.608636,0
2009-01-01,8.330000,8.480000,8.280000,8.310000,5.647345,0
2009-02-01,8.320000,8.350000,8.140000,8.140000,5.558572,0
2009-03-01,8.170000,8.260000,8.080000,8.260000,5.673193,0
2009-04-01,8.270000,8.400000,8.230000,8.370000,5.780974,0
2009-05-01,8.360000,8.610000,8.360000,8.580000,5.957337,0
2009-06-01,8.510000,8.650000,8.480000,8.630000,6.020386,0
2009-07-01,8.640000,8.850000,8.640000,8.850000,6.199691,0
2009-08-01,8.810000,8.980000,8.780000,8.980000,6.315905,0
2009-09-01,8.990000,9.070000,8.970000,9.060000,6.400002,0
2009-10-01,9.090000,9.130000,9.050000,9.130000,6.473025,0
2009-11-01,9.110000,9.170000,9.070000,9.170000,6.526512,0
2009-12-01,9.150000,9.150000,9.000000,9.030000,6.451522,0
2010-01-01,9.020000,9.160000,9.020000,9.160000,6.611333,0
2010-02-01,9.140000,9.170000,9.080000,9.160000,6.641160,0
2010-03-01,9.150000,9.170000,9.090000,9.110000,6.633209,0
2010-04-01,9.110000,9.230000,9.060000,9.230000,6.750259,0
2010-05-01,9.210000,9.300000,9.210000,9.250000,6.814510,0
2010-06-01,9.250000,9.380000,9.240000,9.380000,6.935077,0
2010-07-01,9.390000,9.460000,9.360000,9.460000,7.018194,0
2010-08-01,9.430000,9.570000,9.430000,9.560000,7.118076,0
2010-09-01,9.530000,9.600000,9.460000,9.590000,7.163688,0
2010-10-01,9.590000,9.640000,9.570000,9.600000,7.193684,0
2010-11-01,9.600000,9.640000,9.480000,9.520000,7.156903,0
2010-12-01,9.450000,9.460000,9.250000,9.320000,7.029456,0
2011-01-01,9.320000,9.330000,9.270000,9.300000,7.047695,0
2011-02-01,9.270000,9.270000,9.180000,9.270000,7.050735,0
2011-03-01,9.270000,9.300000,9.210000,9.230000,7.045424,0
2011-04-01,9.230000,9.320000,9.200000,9.320000,7.140424,0
2011-05-01,9.320000,9.390000,9.320000,9.390000,7.220420,0
2011-06-01,9.420000,9.420000,9.310000,9.310000,7.184155,0
2011-07-01,9.290000,9.390000,9.290000,9.390000,7.270876,0
2011-08-01,9.410000,9.500000,9.380000,9.420000,7.316801,0
2011-09-01,9.450000,9.530000,9.400000,9.420000,7.340180,0
2011-10-01,9.470000,9.470000,9.310000,9.420000,7.362870,0
2011-11-01,9.460000,9.470000,9.360000,9.360000,7.337876,0
2011-12-01,9.350000,9.430000,9.350000,9.430000,7.414090,0
2012-01-01,9.410000,9.520000,9.410000,9.520000,7.507167,0
2012-02-01,9.500000,9.540000,9.480000,9.530000,7.537270,0
2012-03-01,9.520000,9.540000,9.430000,9.490000,7.526937,0
2012-04-01,9.490000,9.550000,9.460000,9.550000,7.595311,0
2012-05-01,9.540000,9.600000,9.540000,9.600000,7.655140,0
2012-06-01,9.630000,9.630000,9.570000,9.590000,7.668759,0
2012-07-01,9.630000,9.750000,9.610000,9.740000,7.810647,0
2012-08-01,9.730000,9.750000,9.650000,9.750000,7.840424,0
2012-09-01,9.750000,9.790000,9.720000,9.780000,7.885640,0
2012-10-01,9.800000,9.810000,9.760000,9.790000,7.913933,0
2012-11-01,9.790000,9.820000,9.780000,9.800000,7.944745,0
2012-12-01,9.800000,9.810000,9.750000,9.800000,7.965878,0
2013-01-01,9.790000,9.790000,9.740000,9.750000,7.946292,0
2013-02-01,9.750000,9.770000,9.730000,9.770000,7.982259,0
2013-03-01,9.780000,9.780000,9.730000,9.760000,7.992111,0
2013-04-01,9.770000,9.840000,9.760000,9.830000,8.066785,0
2013-05-01,9.840000,9.850000,9.660000,9.660000,7.947489,0
2013-06-01,9.660000,9.660000,9.390000,9.450000,7.794849,0
2013-07-01,9.460000,9.480000,9.370000,9.430000,7.798182,0
2013-08-01,9.390000,9.440000,9.290000,9.370000,7.768333,0
2013-09-01,9.330000,9.450000,9.260000,9.450000,7.853117,0
2013-10-01,9.440000,9.520000,9.420000,9.510000,7.920578,0
2013-11-01,9.480000,9.490000,9.420000,9.450000,7.888857,0
